,,,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,,,,,,,,,,Million $,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Live meat animals,,,"1,189.70","1,419.00","1,771.20","1,723.90","1,276.70","1,134.30","1,672.00","2,172.00","2,588.00","2,266.40","1,655.50","2,007.10","1,886.50","2,192.00","2,190.20","3,008.60","2,772.50","2,102.90","2,020.00"
Meats,,,"3,260.50","3,827.70","4,256.20","4,283.50","4,426.80","5,718.50","5,751.90","5,243.60","5,367.30","5,059.80","4,612.10","5,087.80","5,755.20","6,245.20","6,529.80","8,940.40","9,991.70","8,589.10","8,877.60"
Fish and shellfish 2/,,,"8,859.80","9,879.80","9,663.30","9,963.30","10,859.90","11,106.30","11,840.20","13,112.30","13,434.60","13,912.00","12,933.90","14,516.70","16,459.40","16,467.50","17,784.30","20,053.50","18,520.80","19,260.70","21,324.10"
Dairy,,,930.3,922.3,995.8,"1,008.80","1,110.30","1,292.30","1,388.40","1,405.70","1,500.80","1,595.60","1,353.40","1,347.20","1,502.10","1,604.20","1,649.10","1,844.30","1,893.50","1,875.80","1,827.20"
Vegetables,,,"3,631.60","3,771.40","4,156.60","4,391.10","5,082.40","5,730.00","6,043.10","6,619.30","7,256.00","7,800.60","7,525.20","8,705.60","9,666.60","9,945.60","10,733.50","10,929.70","11,290.20","12,469.20","12,743.00"
Fruits,,,"4,764.50","4,629.50","4,665.20","5,067.60","5,557.70","5,962.40","6,873.80","7,707.10","9,217.30","9,888.20","9,639.80","10,649.00","11,973.90","12,537.90","13,602.30","14,807.70","15,954.90","17,157.00","18,383.10"
Nuts,,,793.9,808.7,670.2,700.5,775.6,"1,078.40","1,121.90","1,099.40","1,181.40","1,350.70","1,278.30","1,461.70","1,863.20","1,999.60","2,000.20","2,360.50","2,767.30","2,870.80","3,300.60"
"Coffee, tea, and spices",,,"3,603.70","3,441.80","2,400.70","2,455.00","2,871.90","3,144.30","3,770.80","4,194.90","4,791.20","5,580.80","5,160.30","6,265.00","9,715.80","8,725.70","7,633.20","8,298.80","8,536.20","8,310.90","9,068.80"
Grains,,,"2,659.50","2,734.80","2,989.80","3,342.80","3,618.20","4,010.50","4,240.70","4,910.10","5,914.80","7,689.60","6,846.10","7,137.50","8,062.80","9,111.10","10,257.00","10,030.90","10,030.20","10,178.60","10,860.80"
Vegetable oils,,,"1,356.90","1,362.50","1,177.00","1,301.60","1,506.50","2,241.00","2,362.60","2,818.30","3,516.70","5,694.60","4,039.40","4,508.80","6,793.60","6,235.90","6,664.50","7,336.60","6,304.00","6,521.60","7,224.70"
Sugar and candy,,,"1,617.70","1,571.60","1,580.90","1,842.60","2,130.80","2,111.30","2,473.70","3,021.20","2,606.20","3,011.00","3,081.20","4,107.40","5,207.40","4,783.50","4,327.40","4,582.30","4,705.30","4,693.20","4,720.50"
Cocoa and chocolate,,,"1,522.50","1,404.50","1,535.90","1,760.90","2,439.20","2,484.40","2,750.60","2,659.20","2,661.60","3,298.80","3,476.20","4,295.20","4,680.60","4,095.70","4,158.80","4,728.00","4,859.70","5,080.60","5,006.50"
Other edible products,,,"2,121.50","2,101.70","2,252.00","2,482.00","3,637.20","4,784.40","5,536.40","5,963.10","6,080.00","6,700.80","6,111.30","6,781.60","8,133.20","10,977.60","9,831.00","9,715.80","9,591.60","9,351.00","10,133.90"
Beverages 3/,,,"4,411.80","4,815.90","5,101.30","5,794.70","6,597.50","7,024.30","7,887.50","9,212.10","9,912.70","9,832.90","8,721.00","9,262.80","10,142.90","10,858.50","11,247.60","11,964.00","12,785.70","13,492.90","14,382.90"
Liquors,,,"2,381.90","2,725.50","2,847.00","3,091.10","3,438.20","3,709.20","4,089.90","4,511.50","5,047.70","5,040.40","4,787.00","5,189.00","5,733.80","6,023.00","6,391.70","6,587.50","6,774.20","7,165.10","7,362.90"
